Source,Target,Type,Weight
Cousins Cove,Dias,Undirected,1
Cousins Cove,Jericho,Undirected,1
Success,Cacoon,Undirected,1
Success,Ramble,Undirected,1
Success,Kingsvale,Undirected,1
Success,Dias,Undirected,1
Success,Jericho,Undirected,1
Success,Lucea West,Undirected,1
Santoy,Logwood,Undirected,1
Santoy,Cacoon,Undirected,1
Santoy,Orange Bay,Undirected,1
Santoy,Kingsvale,Undirected,1
Santoy,Dias,Undirected,1
Santoy,Jericho,Undirected,1
Cauldwell,Logwood,Undirected,1
Cauldwell,Cacoon,Undirected,1
Cauldwell,Orange Bay,Undirected,1
Cauldwell,Kingsvale,Undirected,1
Cauldwell,Dias,Undirected,1
Cauldwell,Jericho,Undirected,1
Mount Peto,Cacoon,Undirected,1
Mount Peto,Ramble,Undirected,1
Mount Peto,Kingsvale,Undirected,1
Mount Peto,Dias,Undirected,1
Mount Peto,Jericho,Undirected,1
Mount Peto,Lucea West,Undirected,1
Maryland,Logwood,Undirected,1
Maryland,Cacoon,Undirected,1
Maryland,Orange Bay,Undirected,1
Maryland,Ramble,Undirected,1
Maryland,Kingsvale,Undirected,1
Maryland,Dias,Undirected,1
Cacoon Castle,Rock Spring,Undirected,1
Chester Castle,Ramble,Undirected,1
Chester Castle,Jericho,Undirected,1
Chester Castle,Askenish,Undirected,1
Chester Castle,Great Valley,Undirected,1
Chester Castle,Success,Undirected,1
Chester Castle,Mount Peto,Undirected,1
Haddington,Logwood,Undirected,1
Haddington,Cacoon,Undirected,1
Haddington,Orange Bay,Undirected,1
Haddington,Ramble,Undirected,1
Haddington,Kingsvale,Undirected,1
Haddington,Dias,Undirected,1
Pondside,Logwood,Undirected,1
Pondside,Cacoon,Undirected,1
Pondside,Ramble,Undirected,1
Pondside,Kingsvale,Undirected,1
Pondside,Dias,Undirected,1
Pondside,Jericho,Undirected,1
March Town,Logwood,Undirected,1
March Town,Cacoon,Undirected,1
March Town,Orange Bay,Undirected,1
March Town,Kingsvale,Undirected,1
March Town,Dias,Undirected,1
March Town,Jericho,Undirected,1
East Down Town,Copse,Undirected,1
East Down Town,Denham Town,Undirected,1
East Down Town,Central Down Town,Undirected,1
East Down Town,Passmore Town,Undirected,1
East Down Town,Rollington Town,Undirected,1
Denham Town,Copse,Undirected,1
Denham Town,East Down Town,Undirected,1
Denham Town,Central Down Town,Undirected,1
Denham Town,Passmore Town,Undirected,1
Central Down Town,Copse,Undirected,1
Central Down Town,East Down Town,Undirected,1
Central Down Town,Denham Town,Undirected,1
Passmore Town,Copse,Undirected,1
Passmore Town,East Down Town,Undirected,1
Passmore Town,Denham Town,Undirected,1
Rollington Town,Copse,Undirected,1
Rollington Town,East Down Town,Undirected,1
Rollington Town,Denham Town,Undirected,1
Rollington Town,Central Down Town,Undirected,1
West Down Town,Copse,Undirected,1
West Down Town,East Down Town,Undirected,1
West Down Town,Denham Town,Undirected,1
West Down Town,Central Down Town,Undirected,1
West Down Town,Passmore Town,Undirected,1
Tivoli Gardens,Copse,Undirected,1
Tivoli Gardens,East Down Town,Undirected,1
Tivoli Gardens,Denham Town,Undirected,1
Tivoli Gardens,Central Down Town,Undirected,1
Tivoli Gardens,Passmore Town,Undirected,1
Tivoli Gardens,Rollington Town,Undirected,1
Newton Square,Copse,Undirected,1
Newton Square,East Down Town,Undirected,1
Newton Square,Denham Town,Undirected,1
Newton Square,Central Down Town,Undirected,1
Newton Square,Passmore Town,Undirected,1
Newton Square,Rollington Town,Undirected,1
Kingston Gardens,Copse,Undirected,1
Kingston Gardens,East Down Town,Undirected,1
Kingston Gardens,Denham Town,Undirected,1
Kingston Gardens,Central Down Town,Undirected,1
Kingston Gardens,Passmore Town,Undirected,1
Kingston Gardens,Rollington Town,Undirected,1
Bournemouth Gardens,Copse,Undirected,1
Bournemouth Gardens,East Down Town,Undirected,1
Bournemouth Gardens,Denham Town,Undirected,1
Bournemouth Gardens,Central Down Town,Undirected,1
Bournemouth Gardens,Passmore Town,Undirected,1
Bournemouth Gardens,Rollington Town,Undirected,1
Rae Town,Copse,Undirected,1
Rae Town,East Down Town,Undirected,1
Rae Town,Denham Town,Undirected,1
Rae Town,Central Down Town,Undirected,1
Rae Town,Passmore Town,Undirected,1
Rae Town,Rollington Town,Undirected,1
Allman Town,Copse,Undirected,1
Allman Town,East Down Town,Undirected,1
Allman Town,Denham Town,Undirected,1
Allman Town,Central Down Town,Undirected,1
Allman Town,Passmore Town,Undirected,1
Allman Town,Rollington Town,Undirected,1
Manley Meadows,Copse,Undirected,1
Manley Meadows,East Down Town,Undirected,1
Manley Meadows,Denham Town,Undirected,1
Manley Meadows,Central Down Town,Undirected,1
Manley Meadows,Passmore Town,Undirected,1
Manley Meadows,Rollington Town,Undirected,1
Franklyn Town,Copse,Undirected,1
Franklyn Town,East Down Town,Undirected,1
Franklyn Town,Denham Town,Undirected,1
Franklyn Town,Central Down Town,Undirected,1
Franklyn Town,Passmore Town,Undirected,1
Franklyn Town,Rollington Town,Undirected,1
Norman Gardens,Copse,Undirected,1
Norman Gardens,East Down Town,Undirected,1
Norman Gardens,Denham Town,Undirected,1
Norman Gardens,Central Down Town,Undirected,1
