Source,Target,Type,Weight
Guy's Hill,Highgate,Undirected,1
Guy's Hill,Islington,Undirected,1
Guy's Hill,Linstead,Undirected,1
Guy's Hill,Lluidas Vale,Undirected,1
Guy's Hill,Lucky Hill,Undirected,1
Guy's Hill,Moneague,Undirected,1
Guy's Hill,Ocho Rios,Undirected,1
Guy's Hill,Point Hill,Undirected,1
Hayes,Chapelton,Undirected,1
Hayes,Lionel Town,Undirected,1
Hayes,May Pen,Undirected,1
Hayes,Old Harbour,Undirected,1
Hayes,Old Harbour Bay,Undirected,1
Hayes,Osbourne Store,Undirected,1
Hayes,Porus,Undirected,1
Hayes,Race Course,Undirected,1
Hayes,Rocky Point,Undirected,1
Highgate,Above Rocks,Undirected,1
Highgate,Annotto Bay,Undirected,1
Highgate,Buff Bay,Undirected,1
Highgate,Gayle,Undirected,1
Highgate,Guy's Hill,Undirected,1
Highgate,Islington,Undirected,1
Highgate,Linstead,Undirected,1
Highgate,Lucky Hill,Undirected,1
Highgate,Moneague,Undirected,1
Highgate,Oracabessa,Undirected,1
Highgate,Port Maria,Undirected,1
Highgate,Richmond,Undirected,1
Highgate,Riversdale,Undirected,1
Hope Bay,Annotto Bay,Undirected,1
Hope Bay,Buff Bay,Undirected,1
Hope Bay,Gordon Town,Undirected,1
Hope Bay,Mavis Bank,Undirected,1
Hope Bay,Moore Town,Undirected,1
Hope Bay,Port Antonio,Undirected,1
Hopewell,Frome,Undirected,1
Hopewell,Grange Hill,Undirected,1
Hopewell,Little London,Undirected,1
Hopewell,Lucea,Undirected,1
Hopewell,Negril,Undirected,1
Hopewell,Petersfield,Undirected,1
Islington,Above Rocks,Undirected,1
Islington,Annotto Bay,Undirected,1
Islington,Buff Bay,Undirected,1
Islington,Gayle,Undirected,1
Islington,Guy's Hill,Undirected,1
Islington,Highgate,Undirected,1
Islington,Lucky Hill,Undirected,1
Islington,Oracabessa,Undirected,1
Islington,Port Maria,Undirected,1
Islington,Richmond,Undirected,1
Islington,Riversdale,Undirected,1
Kellits,Alexandria,Undirected,1
Kellits,Bamboo,Undirected,1
Kellits,Bog Walk,Undirected,1
Kellits,Cave Valley,Undirected,1
Kellits,Chapelton,Undirected,1
Kellits,Claremont,Undirected,1
Kellits,Croft's Hill,Undirected,1
Kellits,Ewarton,Undirected,1
Kellits,Frankfield,Undirected,1
Kellits,Linstead,Undirected,1
Kellits,Lluidas Vale,Undirected,1
Kingston,Above Rocks,Undirected,1
Kingston,Constant Spring,Undirected,1
Kingston,Easington,Undirected,1
Kingston,Gordon Town,Undirected,1
Kingston,Mavis Bank,Undirected,1
Kingston,Port Royal,Undirected,1
Kingston,Portmore,Undirected,1
Kingston,Spanish Town,Undirected,1
Kingston,Stony Hill,Undirected,1
Lacovia,Balaclava,Undirected,1
Lacovia,Black River,Undirected,1
Lacovia,Brompton,Undirected,1
Lacovia,Maggotty,Undirected,1
Lacovia,Malvern,Undirected,1
Lacovia,Nain,Undirected,1
Lacovia,Santa Cruz,Undirected,1
Lacovia,Savanna-la-Mar,Undirected,1
Lacovia,Seaford Town,Undirected,1
Lacovia,Siloah,Undirected,1
Lacovia,Southfield,Undirected,1
Lacovia,White House,Undirected,1
Linstead,Above Rocks,Undirected,1
Linstead,Bog Walk,Undirected,1
Linstead,Croft's Hill,Undirected,1
Linstead,Ewarton,Undirected,1
Linstead,Gayle,Undirected,1
Linstead,Guy's Hill,Undirected,1
Linstead,Highgate,Undirected,1
Linstead,Kellits,Undirected,1
Linstead,Lluidas Vale,Undirected,1
Linstead,Lucky Hill,Undirected,1
Linstead,Moneague,Undirected,1
Linstead,Point Hill,Undirected,1
Lionel Town,Hayes,Undirected,1
Lionel Town,May Pen,Undirected,1
Lionel Town,Old Harbour,Undirected,1
Lionel Town,Old Harbour Bay,Undirected,1
Lionel Town,Osbourne Store,Undirected,1
Lionel Town,Race Course,Undirected,1
Lionel Town,Rocky Point,Undirected,1
Little London,Bluefields,Undirected,1
Little London,Cascade,Undirected,1
Little London,Frome,Undirected,1
Little London,Grange Hill,Undirected,1
Little London,Hopewell,Undirected,1
Little London,Lucea,Undirected,1
Little London,Negril,Undirected,1
Little London,Petersfield,Undirected,1
Little London,Sandy Bay,Undirected,1
Lluidas Vale,Bog Walk,Undirected,1
Lluidas Vale,Chapelton,Undirected,1
Lluidas Vale,Croft's Hill,Undirected,1
Lluidas Vale,Ewarton,Undirected,1
Lluidas Vale,Frankfield,Undirected,1
Lluidas Vale,Guy's Hill,Undirected,1
Lluidas Vale,Kellits,Undirected,1
Lluidas Vale,Linstead,Undirected,1
Lluidas Vale,Lucky Hill,Undirected,1
Lluidas Vale,May Pen,Undirected,1
Lluidas Vale,Moneague,Undirected,1
Lluidas Vale,Old Harbour,Undirected,1
Lucea,Cascade,Undirected,1
Lucea,Frome,Undirected,1
Lucea,Grange Hill,Undirected,1
Lucea,Hopewell,Undirected,1
Lucea,Little London,Undirected,1
Lucea,Negril,Undirected,1
Lucea,Petersfield,Undirected,1
Lucea,Sandy Bay,Undirected,1
Lucky Hill,Bog Walk,Undirected,1
Lucky Hill,Claremont,Undirected,1
Lucky Hill,Ewarton,Undirected,1
Lucky Hill,Gayle,Undirected,1
Lucky Hill,Guy's Hill,Undirected,1
Lucky Hill,Highgate,Undirected,1
Lucky Hill,Islington,Undirected,1
Lucky Hill,Linstead,Undirected,1
Lucky Hill,Lluidas Vale,Undirected,1
Lucky Hill,Moneague,Undirected,1
Lucky Hill,Ocho Rios,Undirected,1
Maggotty,Balaclava,Undirected,1
Maggotty,Black River,Undirected,1
Maggotty,Brompton,Undirected,1
Maggotty,Cambridge,Undirected,1
Maggotty,Darliston,Undirected,1
Maggotty,Lacovia,Undirected,1
Maggotty,Malvern,Undirected,1
Maggotty,Maroon Town,Undirected,1
Maggotty,Santa Cruz,Undirected,1
Maggotty,Savanna-la-Mar,Undirected,1
Maggotty,Seaford Town,Undirected,1
Maggotty,Siloah,Undirected,1
Maggotty,White House,Undirected,1
Malvern,Alligator Pond,Undirected,1
Malvern,Balaclava,Undirected,1
Malvern,Black River,Undirected,1
Malvern,Brompton,Undirected,1
Malvern,Bull Savanna,Undirected,1
Malvern,Lacovia,Undirected,1
Malvern,Maggotty,Undirected,1
Malvern,Nain,Undirected,1
Malvern,Santa Cruz,Undirected,1
Malvern,Siloah,Undirected,1
Malvern,Southfield,Undirected,1
Manchioneal,Bath,Undirected,1
Manchioneal,Dalvey,Undirected,1
Manchioneal,Golden Grove,Undirected,1
