Id,Label,timeset,Lat,Long,Parish,Population
Hope Pastures/ UTECH,Hope Pastures/ UTECH,,18.0186816,-76.74447359999999,Saint Andrew,5854.5
Eastwood Park Gardens,Eastwood Park Gardens,,18.0154557,-76.7984452,Saint Andrew,5854.5
August Town,August Town,,17.993023100000002,-76.7408666,Saint Andrew,5854.5
Golden Spring,Golden Spring,,18.090160100000002,-76.8014512,Saint Andrew,5854.5
Cockburn Gardens,Cockburn Gardens,,18.0117678,-76.8230815,Saint Andrew,5854.5
Molynes Gardens,Molynes Gardens,,18.0346081,-76.8173138,Saint Andrew,5854.5
Duhaney Park,Duhaney Park,,18.0296291,-76.85047440000001,Saint Andrew,5854.5
Oaklands,Oaklands,,18.0356818,-76.79604309999999,Saint Andrew,5854.5
Hughenden,Hughenden,,18.0314148,-76.81839520000001,Saint Andrew,5854.5
Marverley,Marverley,,18.014310899999998,-76.80902640000001,Saint Andrew,5854.5
Richmond Park,Richmond Park,,18.0051643,-76.8115458,Saint Andrew,5854.5
Forest Hills/ Plantation Height,Forest Hills/ Plantation Height,,18.041663,-76.856527,Saint Andrew,5854.5
Jones Town,Jones Town,,17.986068600000003,-76.7978458,Saint Andrew,5854.5
Arlene Gardens,Arlene Gardens,,18.0369734,-76.824646,Saint Andrew,5854.5
Queensborough/ Tunbridge,Queensborough/ Tunbridge,,18.040034,-76.825525,Saint Andrew,5854.5
Mountain View Gardens,Mountain View Gardens,,17.986107399999998,-76.766835,Saint Andrew,5854.5
Zaidie Gardens,Zaidie Gardens,,18.024342100000002,-76.8158718,Saint Andrew,5854.5
Trafalgar Park,Trafalgar Park,,18.011311199999998,-76.78486550000001,Saint Andrew,5854.5
Washington Gardens,Washington Gardens,,18.023422600000004,-76.844708,Saint Andrew,5854.5
Drumblair,Drumblair,,18.0263767,-76.7896877,Saint Andrew,5854.5
Waltham Gardens,Waltham Gardens,,18.01235,-76.813414,Saint Andrew,5854.5
Woodford Park,Woodford Park,,17.9848754,-76.78053840000001,Saint Andrew,5854.5
Papine,Papine,,18.0115978,-76.736538,Saint Andrew,5854.5
Bloxborough,Bloxborough,,18.059877,-76.75639699999999,Saint Andrew,5854.5
Parry Town,Parry Town,,18.3945198,-77.1095985,Saint Ann,4601.2
Discovery Bay,Discovery Bay,,18.458202,-77.39847040000001,Saint Ann,4601.2
Browns Town,Browns Town,,18.3894586,-77.3726379,Saint Ann,4601.2
Macknie,Macknie,,18.192826899999996,-77.2504835,Saint Ann,4601.2
Hinds Town,Hinds Town,,18.348784,-77.239577,Saint Ann,4601.2
Exchange,Exchange,,18.4081733,-77.0695623,Saint Ann,4601.2
Steer Town,Steer Town,,18.413122899999998,-77.16289590000001,Saint Ann,4601.2
St. Ann's Bay,St. Ann's Bay,,18.4329473,-77.19739969999999,Saint Ann,4601.2
Priory,Priory,,18.439175199999998,-77.22470809999999,Saint Ann,4601.2
Philadelphia,Philadelphia,,18.3931702,-77.3195196,Saint Ann,4601.2
York Castle,York Castle,,18.3880521,-77.3645357,Saint Ann,4601.2
Lime Hall,Lime Hall,,18.4285057,-77.2034286,Saint Ann,4601.2
Cole Gate,Cole Gate,,18.3570732,-77.0900489,Saint Ann,4601.2
Braeton,Braeton,,17.9495083,-76.8893907,Saint Catherine,22656.36364
Spanish Town Central,Spanish Town Central,,18.0193171,-76.97582740000001,Saint Catherine,22656.36364
Cromarty,Cromarty,,17.982700199999996,-76.97150699999999,Saint Catherine,22656.36364
Hellshire,Hellshire,,17.8979127,-76.8940743,Saint Catherine,22656.36364
Greater Portmore,Greater Portmore,,17.947979999999998,-76.9095647,Saint Catherine,22656.36364
Bogwalk,Bogwalk,,18.1057667,-77.00750550000001,Saint Catherine,22656.36364
Hampton Green,Hampton Green,,18.002844600000003,-76.9686267,Saint Catherine,22656.36364
Sligoville,Sligoville,,18.093398399999998,-76.9756667,Saint Catherine,22656.36364
Greendale,Greendale,,17.9962367,-76.9451717,Saint Catherine,22656.36364
Ensom,Ensom,,18.0119455,-76.96358590000001,Saint Catherine,22656.36364
Naggo Head,Naggo Head,,17.9680932,-76.88506729999999,Saint Catherine,22656.36364
Willowdene,Willowdene,,17.995106,-76.9830277,Saint Catherine,22656.36364
Golden Acres,Golden Acres,,18.022517999999998,-76.97842729999999,Saint Catherine,22656.36364
Bridgeport,Bridgeport,,17.9618897,-76.87930250000001,Saint Catherine,22656.36364
Gregory Park,Gregory Park,,17.9986932,-76.88650849999999,Saint Catherine,22656.36364
Old Harbour Road,Old Harbour Road,,17.980317899999996,-76.9989257,Saint Catherine,22656.36364
Central Village,Central Village,,18.000664,-76.9153281,Saint Catherine,22656.36364
Kitson Town,Kitson Town,,18.018147600000002,-77.0523088,Saint Catherine,22656.36364
Waterford,Waterford,,17.9874402,-76.8706548,Saint Catherine,22656.36364
Keystone,Keystone,,18.018513100000003,-76.9427006,Saint Catherine,22656.36364
St. John's East,St. John's East,,18.005143,-76.96690600000001,Saint Catherine,22656.36364
Troja,Troja,,18.208966500000002,-76.92253199999999,Saint Catherine,22656.36364
Crescent,Crescent,,18.0087965,-77.0036797,Saint Catherine,22656.36364
St. John's West,St. John's West,,18.0044324,-77.0348573,Saint Catherine,22656.36364
Cumberland,Cumberland,,17.9766103,-76.8821849,Saint Catherine,22656.36364
Passage Fort,Passage Fort,,17.9812357,-76.86488929999999,Saint Catherine,22656.36364
Edgewater,Edgewater,,17.9642027,-76.8706548,Saint Catherine,22656.36364
Independence City,Independence City,,17.9821476,-76.881187,Saint Catherine,22656.36364
Glengoffe,Glengoffe,,18.141852399999998,-76.887229,Saint Catherine,22656.36364
Treasure Beach,Treasure Beach,,17.8817491,-77.75951309999999,Saint Elizabeth,3163.8
Bigwoods,Bigwoods,,17.9370657,-77.7137306,Saint Elizabeth,3163.8
Thornton,Thornton,,18.1734634,-77.7253532,Saint Elizabeth,3163.8
Slipe,Slipe,,18.0466563,-77.78811759999999,Saint Elizabeth,3163.8
Rose Hall,Rose Hall,,17.9313337,-77.6469553,Saint Elizabeth,3163.8
Junction,Junction,,17.899982,-77.604711,Saint Elizabeth,3163.8
Pisgah,Pisgah,,18.2044462,-77.8796168,Saint Elizabeth,3163.8
Braes River,Braes River,,18.0802709,-77.647368,Saint Elizabeth,3163.8
Goshen,Goshen,,18.0788461,-77.6994197,Saint Elizabeth,3163.8
Ballards  Valley,Ballards  Valley,,17.897222199999998,-77.6130556,Saint Elizabeth,3163.8
Pedro Plains,Pedro Plains,,17.8917176,-77.7283314,Saint Elizabeth,3163.8
