Id,Label,timeset,modularity_class,Degree,lat,long,parish,population
Rose Mount Garden,Rose Mount Garden,,2,5,18.468336,-77.896032,Saint James,26543.5
Barrett Town,Barrett Town,,2,5,18.509728,-77.801648,Saint James,26543.5
Paradise,Paradise,,2,5,18.476004,-77.922032,Saint James,26543.5
Lilliput,Lilliput,,2,5,18.51239,-77.776677,Saint James,26543.5
Green Pond,Green Pond,,2,5,18.47158,-77.872815,Saint James,26543.5
Glendevon,Glendevon,,2,5,18.480285,-77.900318,Saint James,26543.5
Welcome Hall,Welcome Hall,,2,5,18.373811,-77.843416,Saint James,26543.5
Farm Heights,Farm Heights,,2,5,18.47362,-77.88746,Saint James,26543.5
Maldon,Maldon,,2,5,18.461833,-77.918831,Saint James,26543.5
Retirement,Retirement,,2,5,18.439472,-77.889603,Saint James,26543.5
Porto Bello,Porto Bello,,2,5,18.462396,-77.881061,Saint James,26543.5
Tangle River,Tangle River,,2,5,18.346079,-77.820379,Saint James,26543.5
Flower Hill,Flower Hill,,2,5,18.494821,-77.84873,Saint James,26543.5
Salt Spring,Salt Spring,,2,5,18.479235,-77.89882,Saint James,26543.5
Rosemount,Rosemount,,2,5,18.474375,-77.898842,Saint James,26543.5
Niagara,Niagara,,2,5,18.279583,-77.833226,Saint James,26543.5
Coral Gardens,Coral Gardens,,2,5,18.510182,-77.863807,Saint James,26543.5
Tucker,Tucker,,2,5,18.450713,-77.886892,Saint James,26543.5
Ironshore,Ironshore,,2,5,18.507396,-77.896737,Saint James,26543.5
Adelphi,Adelphi,,2,5,18.448151,-77.79126,Saint James,26543.5
Montpelier,Montpelier,,2,5,18.362896,-77.923887,Saint James,26543.5
Summer Hill,Summer Hill,,2,5,18.517281,-77.838917,Saint James,26543.5
Mount Carey,Mount Carey,,2,5,18.386785,-77.932457,Saint James,26543.5
Reading,Reading,,2,5,18.44004,-77.943881,Saint James,26543.5
Irwin,Irwin,,2,5,18.462051,-77.91793,Saint James,26543.5
Spot Valley,Spot Valley,,2,5,18.496956,-77.793811,Saint James,26543.5
Catherine Mount,Catherine Mount,,2,5,18.464327,-77.901747,Saint James,26543.5
Friendship,Friendship,,2,5,18.474764,-77.917934,Saint James,26543.5
Montego Hill,Montego Hill,,2,5,18.489762,-77.888889,Saint James,26543.5
Flamstead,Flamstead,,2,5,18.325247,-77.822141,Saint James,26543.5
Tower Hill/Moy Hall,Tower Hill/Moy Hall,,2,5,18.412888,-77.861743,Saint James,26543.5
Castleton,Castleton,,3,5,18.201507,-76.825244,Saint Mary,3841.666667
Galina,Galina,,3,5,18.40473,-76.893714,Saint Mary,3841.666667
Enfield,Enfield,,3,5,18.232629,-76.741464,Saint Mary,3841.666667
Guys Hill,Guys Hill,,0,5,18.249976,-76.990228,Saint Mary,3841.666667
Martin,Martin,,3,5,18.283881,-76.870655,Saint Mary,3841.666667
Epson,Epson,,3,5,18.249115,-76.72665,Saint Mary,3841.666667
Baileys Vale,Baileys Vale,,3,5,18.351525,-76.906039,Saint Mary,3841.666667
