Id,Label,timeset,lat,long,parish,population,modularity_class,Weighted Degree,recovery weight,Recovery Weight,Log Recovery Weight
Mountain View Gardens,Mountain View Gardens,,17.986107,-76.766835,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Zaidie Gardens,Zaidie Gardens,,18.024342,-76.815872,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Trafalgar Park,Trafalgar Park,,18.011311,-76.78486600000001,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Washington Gardens,Washington Gardens,,18.023423,-76.844708,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Drumblair,Drumblair,,18.026377,-76.789688,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Waltham Gardens,Waltham Gardens,,18.01235,-76.813414,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Woodford Park,Woodford Park,,17.984875,-76.780538,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Papine,Papine,,18.011598,-76.736538,Saint Andrew,5854.5,0,5,0.25,0.47365475,0.16092591706967635
Bloxborough,Bloxborough,,18.059877,-76.75639699999999,Saint Andrew,5854.5,1,5,0.25,0.47365475,0.16092591706967635
Parry Town,Parry Town,,18.39452,-77.109599,Saint Ann,4601.2,1,5,0.25,0.4792946,0.17034159999926224
Discovery Bay,Discovery Bay,,18.458202,-77.39846999999999,Saint Ann,4601.2,5,5,0.25,0.4792946,0.17034159999926224
Browns Town,Browns Town,,18.389459,-77.372638,Saint Ann,4601.2,5,5,0.25,0.4792946,0.17034159999926224
Macknie,Macknie,,18.192826999999998,-77.250484,Saint Ann,4601.2,5,5,0.25,0.4792946,0.17034159999926224
Hinds Town,Hinds Town,,18.348784,-77.239577,Saint Ann,4601.2,5,5,0.25,0.4792946,0.17034159999926224
