Id,Label,timeset,lat,long,parish,population,modularity_class,Weighted Degree,recovery weight
Drewsland,Drewsland,,18.024075,-76.830252,Saint Andrew,5854.5,0,5,0.25
Beverley Hills,Beverley Hills,,18.007787,-76.765392,Saint Andrew,5854.5,0,5,0.25
Patrick City,Patrick City,,18.031741,-76.838941,Saint Andrew,5854.5,0,5,0.25
Liguanea,Liguanea,,18.014748,-76.761065,Saint Andrew,5854.5,0,5,0.25
Hermitage,Hermitage,,17.993966,-76.743099,Saint Andrew,5854.5,0,5,0.25
Kintyre,Kintyre,,18.012346,-76.737282,Saint Andrew,5854.5,0,5,0.25
Cassia Park,Cassia Park,,18.020288,-76.807942,Saint Andrew,5854.5,0,5,0.25
Three Oaks/ Glendale,Three Oaks/ Glendale,,18.030895,-76.825648,Saint Andrew,5854.5,0,5,0.25
Whitfield Town,Whitfield Town,,17.994701,-76.80722,Saint Andrew,5854.5,0,5,0.25
Cherry Gardens,Cherry Gardens,,18.043437,-76.776932,Saint Andrew,5854.5,0,5,0.25
Half-Way-Tree,Half-Way-Tree,,18.00231,-76.792093,Saint Andrew,5854.5,0,5,0.25
Boucher Park,Boucher Park,,18.062488,-76.758457,Saint Andrew,5854.5,1,5,0.25
Molynes Four Roads,Molynes Four Roads,,18.012709,-76.801669,Saint Andrew,5854.5,0,5,0.25
Hope Pastures/ UTECH,Hope Pastures/ UTECH,,18.018682,-76.744474,Saint Andrew,5854.5,0,5,0.25
Eastwood Park Gardens,Eastwood Park Gardens,,18.015456,-76.798445,Saint Andrew,5854.5,0,5,0.25
August Town,August Town,,17.993023,-76.740867,Saint Andrew,5854.5,0,5,0.25
Golden Spring,Golden Spring,,18.09016,-76.801451,Saint Andrew,5854.5,1,5,0.25
Cockburn Gardens,Cockburn Gardens,,18.011768,-76.823082,Saint Andrew,5854.5,0,5,0.25
Molynes Gardens,Molynes Gardens,,18.034608,-76.817314,Saint Andrew,5854.5,0,5,0.25
Duhaney Park,Duhaney Park,,18.029629,-76.850474,Saint Andrew,5854.5,0,5,0.25
