Id,Label,timeset,lat,long,parish,population,modularity_class,Degree
Junction,Junction,,17.899982,-77.604711,Saint Elizabeth,,6,6
Braes River,Braes River,,18.080271,-77.647368,Saint Elizabeth,,6,8
Thornton,Thornton,,18.173463,-77.725353,Saint Elizabeth,,6,14
Pisgah,Pisgah,,18.204446,-77.879617,Saint Elizabeth,,6,9
Goshen,Goshen,,18.078846,-77.69942,Saint Elizabeth,,6,6
Leeds,Leeds,,18.018349,-77.69012,Saint Elizabeth,,6,5
Ballards  Valley,Ballards  Valley,,17.897222,-77.613056,Saint Elizabeth,,6,5
Pedro Plains,Pedro Plains,,17.891718,-77.728331,Saint Elizabeth,,6,5
Watchwell,Watchwell,,17.935705,-77.760944,Saint Elizabeth,,6,5
Giddy Hall,Giddy Hall,,18.111408,-77.860846,Saint Elizabeth,,6,6
Pepper,Pepper,,18.050308,-77.640726,Saint Elizabeth,,6,5
Middle Quarters,Middle Quarters,,18.102018,-77.833869,Saint Elizabeth,,6,6
Top Hill,Top Hill,,17.892578,-77.637542,Saint Elizabeth,,6,5
Lititz,Lititz,,17.941642,-77.580584,Saint Elizabeth,,6,5
Bull Savannah,Bull Savannah,,17.884618,-77.595062,Saint Elizabeth,,6,5
Aberdeen,Aberdeen,,18.198852,-77.708006,Saint Elizabeth,,6,8
Red Bank,Red Bank,,17.927427,-77.629677,Saint Elizabeth,,6,5
Holland,Holland,,18.06562,-77.757854,Saint Elizabeth,,6,6
Brighton,Brighton,,18.094564,-77.702125,Saint Elizabeth,,7,2
Newton,Newton,,18.100438,-77.697318,Saint Elizabeth,,7,2
Hopeton,Hopeton,,17.995202,-76.925897,Saint Elizabeth,,4,5
West Green,West Green,,18.460884,-77.925303,Saint James,,8,17
Catherine Hall,Catherine Hall,,18.461236,-77.921745,Saint James,,8,17
Rose Heights,Rose Heights,,18.476223,-77.89389,Saint James,,8,16
Down Town Montego Bay,Down Town Montego Bay,,18.476223,-77.89389,Saint James,,8,13
Brandon Hill,Brandon Hill,,18.475773,-77.911032,Saint James,,8,11
Orange,Orange,,18.480123,-77.922791,Saint James,,5,5
Granville,Granville,,18.445859,-77.898175,Saint James,,5,5
Bogue,Bogue,,18.441496,-77.923856,Saint James,,5,5
Pitfour,Pitfour,,18.442003,-77.896157,Saint James,,5,5
Norwood,Norwood,,18.492567,-77.90276,Saint James,,5,5
Mount Salem,Mount Salem,,18.466837,-77.906747,Saint James,,5,5
Albion,Albion,,18.482164,-77.918174,Saint James,,5,5
Flankers,Flankers,,18.504223,-77.898175,Saint James,,5,5
Unity Hall,Unity Hall,,18.448071,-77.978148,Saint James,,5,5
Dumfries,Dumfries,,18.422406,-77.76526,Saint James,,8,14
John's Hall,John's Hall,,18.419571,-77.852451,Saint James,,5,7
Catadupa,Catadupa,,18.279485,-77.873886,Saint James,,5,5
Somerton,Somerton,,18.429898,-77.788121,Saint James,,8,12
Rose Mount Garden,Rose Mount Garden,,18.468336,-77.896032,Saint James,,5,5
Barrett Town,Barrett Town,,18.509728,-77.801648,Saint James,,8,7
Paradise,Paradise,,18.476004,-77.922032,Saint James,,5,5
Lilliput,Lilliput,,18.51239,-77.776677,Saint James,,8,8
Green Pond,Green Pond,,18.47158,-77.872815,Saint James,,5,5
Glendevon,Glendevon,,18.480285,-77.900318,Saint James,,5,5
Welcome Hall,Welcome Hall,,18.373811,-77.843416,Saint James,,5,5
Farm Heights,Farm Heights,,18.47362,-77.88746,Saint James,,5,5
Maldon,Maldon,,18.461833,-77.918831,Saint James,,5,5
Retirement,Retirement,,18.439472,-77.889603,Saint James,,5,5
Porto Bello,Porto Bello,,18.462396,-77.881061,Saint James,,5,5
Tangle River,Tangle River,,18.346079,-77.820379,Saint James,,5,5
Flower Hill,Flower Hill,,18.494821,-77.84873,Saint James,,8,5
Salt Spring,Salt Spring,,18.479235,-77.89882,Saint James,,5,5
Rosemount,Rosemount,,18.474375,-77.898842,Saint James,,5,5
Niagara,Niagara,,18.279583,-77.833226,Saint James,,5,5
Coral Gardens,Coral Gardens,,18.510182,-77.863807,Saint James,,8,5
Tucker,Tucker,,18.450713,-77.886892,Saint James,,5,5
Ironshore,Ironshore,,18.507396,-77.896737,Saint James,,5,5
Adelphi,Adelphi,,18.448151,-77.79126,Saint James,,8,5
Montpelier,Montpelier,,18.362896,-77.923887,Saint James,,5,5
Summer Hill,Summer Hill,,18.517281,-77.838917,Saint James,,8,5
Mount Carey,Mount Carey,,18.386785,-77.932457,Saint James,,5,5
Reading,Reading,,18.44004,-77.943881,Saint James,,5,5
Irwin,Irwin,,18.462051,-77.91793,Saint James,,5,5
Spot Valley,Spot Valley,,18.496956,-77.793811,Saint James,,8,5
Catherine Mount,Catherine Mount,,18.464327,-77.901747,Saint James,,5,5
Friendship,Friendship,,18.474764,-77.917934,Saint James,,5,5
Montego Hill,Montego Hill,,18.489762,-77.888889,Saint James,,5,5
Flamstead,Flamstead,,18.325247,-77.822141,Saint James,,5,5
Tower Hill/Moy Hall,Tower Hill/Moy Hall,,18.412888,-77.861743,Saint James,,5,5
Castleton,Castleton,,18.201507,-76.825244,Saint Mary,,4,6
Galina,Galina,,18.40473,-76.893714,Saint Mary,,8,5
