Lat,Long,Name,Parish,Population
17.886246,-76.4172594,Church Corner,Saint Thomas,4157.25
17.8961425,-76.331889,Port Morant,Saint Thomas,4157.25
17.881546,-76.4534165,White Horses,Saint Thomas,4157.25
17.8750969,-76.3734985,Retreat,Saint Thomas,4157.25
18.408328,-77.856936,Wilmington,Saint Thomas,4157.25
17.892805600000003,-76.2844079,Barking Lodge,Saint Thomas,4157.25
17.9558605,-76.24972240000001,Amity Hall,Saint Thomas,4157.25
18.4944908,-77.70371309999999,Salt Marsh,Trelawny,2977.8571428571427
18.4518582,-77.7085247,Bounty Hall,Trelawny,2977.8571428571427
18.4153066,-77.5418791,Clarks Town,Trelawny,2977.8571428571427
18.370507999999997,-77.609482,Deeside,Trelawny,2977.8571428571427
18.1925,-76.9225,Bunkers Hill,Trelawny,2977.8571428571427
18.335778100000002,-77.51427199999999,Alps,Trelawny,2977.8571428571427
18.4056917,-77.5948946,Duanvale,Trelawny,2977.8571428571427
18.403422600000003,-77.560509,Kinloss,Trelawny,2977.8571428571427
18.4704799,-77.6600552,Martha Brae,Trelawny,2977.8571428571427
18.3907938,-77.627018,Sherwood Content,Trelawny,2977.8571428571427
18.371810999999997,-77.608795,Samuels Prospect,Trelawny,2977.8571428571427
18.4567641,-77.6178125,Daniel Town,Trelawny,2977.8571428571427
18.4126718,-77.4802353,Jackson Town,Trelawny,2977.8571428571427
18.458508600000002,-77.5449371,Spicy Hill,Trelawny,2977.8571428571427
18.440133300000003,-77.7452445,Hampden,Trelawny,2977.8571428571427
18.263333300000003,-77.9897222,Orange Hill,Westmoreland,4190.181818181818
18.326958899999997,-78.2305758,Jerusalem,Westmoreland,4190.181818181818
18.3166667,-78.1,Burnt Savannah,Westmoreland,4190.181818181818
18.2925319,-78.02167920000001,Haddo,Westmoreland,4190.181818181818
18.2259951,-78.1308761,Savannah-la-mar Business Dist.,Westmoreland,4190.181818181818
18.221877199999998,-78.10779670000001,Smithfield,Westmoreland,4190.181818181818
18.278954199999998,-78.1421905,Georges Plain,Westmoreland,4190.181818181818
18.3055556,-78.0658333,Fort Williams,Westmoreland,4190.181818181818
18.2850216,-78.2528652,Paul Island,Westmoreland,4190.181818181818
18.319454800000003,-78.1396496,Town Head,Westmoreland,4190.181818181818
18.2582307,-78.0908651,Hertford,Westmoreland,4190.181818181818
18.2775801,-78.30457679999999,Shefield,Westmoreland,4190.181818181818
18.3089722,-78.1504116,Truro,Westmoreland,4190.181818181818
18.305557,-78.156917,Strathbogie,Westmoreland,4190.181818181818
18.229494600000002,-78.14165600000001,Llandilo,Westmoreland,4190.181818181818
18.207138399999998,-78.04379499999999,Cave,Westmoreland,4190.181818181818
18.251213699999997,-78.32849190000002,Mount Airy,Westmoreland,4190.181818181818
18.2753015,-78.2377205,Delveland,Westmoreland,4190.181818181818
18.312728,-78.15554399999999,Mackfield,Westmoreland,4190.181818181818
18.31338,-78.15897700000001,Gooden's River,Westmoreland,4190.181818181818
18.312728,-78.15485699999999,Chantilly,Westmoreland,4190.181818181818
18.2798539,-78.0288139,Whithorn,Westmoreland,4190.181818181818
18.2273009,-78.2251136,Broughton,Westmoreland,4190.181818181818
18.0943972,-77.9667267,Whitehouse,Westmoreland,4190.181818181818
18.2983206,-77.99516559999999,Mount Stewart,Westmoreland,4190.181818181818
18.2281151,-78.13548709999999,Seaton Crescent,Westmoreland,4190.181818181818
18.2598908,-78.13581740000001,Three Mile River,Westmoreland,4190.181818181818
18.2914145,-77.9888917,Cornwall Mountian,Westmoreland,4190.181818181818
18.2871307,-78.19900990000001,Fullersfield,Westmoreland,4190.181818181818
